University,intCol2018,intCol2017,intCol2016,acaCol2018,acaCol2017,acaCol2016,pub2018,pub2017,pub2016,cit2018,cit2017,cit2016,fwCitImp2018,fwCitImp2017,fwCitImp2016,pubTCP2018,pubTCP2017,pubTCP2016,pubTJP2018,pubTJP2017,pubTJP2016,citPP2018,citPP2017,citPP2016,authors2018,authors2017,authors2016,citPA2018,citPA2017,citPA2016,pubPA2018,pubPA2017,pubPA2016,h5Index,class
"University of British Columbia",57.2,55.1,55.3,3.7,4.4,4.3,10769.0,10104.0,10068.0,47306.0,97717.0,153321.0,1.91,2.05,2.12,19.3,21.7,22.3,39.0,42.2,41.3,4.4,9.7,15.2,10536.0,10298.0,9875.0,4.489939255884586,9.488929889298893,15.526177215189874,1.0221146545178437,0.981161390561274,1.0195443037974683,197.0,1
"City University of Hong Kong",76.8,73.4,72.7,1.9,1.7,1.6,3889.0,3490.0,3248.0,18340.0,33683.0,43889.0,1.73,1.9,1.68,23.8,26.0,23.7,52.5,51.4,49.8,4.7,9.7,13.5,2453.0,2276.0,2085.0,7.476559315124337,14.79920913884007,21.04988009592326,1.58540562576437,1.5333919156414764,1.5577937649880096,112.0,1
"PSL Research University",61.1,57.5,56.2,6.0,6.0,5.8,8703.0,8785.0,8470.0,39062.0,78395.0,127384.0,1.67,1.6,1.76,20.5,21.2,22.1,40.3,41.1,41.1,4.5,8.9,15.0,8684.0,8519.0,8390.0,4.498157531091663,9.202371170325156,15.182836710369488,1.0021879318286504,1.0312243221035333,1.0095351609058403,168.0,1
"Zhejiang University",31.5,29.7,28.7,2.3,2.4,2.3,14585.0,13185.0,12395.0,51556.0,96698.0,129555.0,1.24,1.26,1.22,18.6,19.4,18.0,37.4,36.9,36.2,3.5,7.3,10.5,22072.0,20089.0,18438.0,2.335810076114534,4.813480013937976,7.026521314676212,0.6607919536063791,0.6563293344616457,0.6722529558520447,147.0,1
"Technical University of Munich",51.7,48.6,49.8,9.6,9.9,9.4,8090.0,7871.0,7615.0,36099.0,68540.0,100827.0,1.91,1.83,1.83,19.7,21.3,21.8,39.8,38.7,42.7,4.5,8.7,13.2,7912.0,7692.0,7349.0,4.562563195146613,8.91055642225689,13.719825826643081,1.0224974721941356,1.0232709308372334,1.0361954007347938,152.0,1
"University of Wisconsin-Madison",36.9,34.4,33.7,4.4,5.1,4.6,8958.0,8895.0,8728.0,36737.0,77683.0,117688.0,1.69,1.78,1.84,20.1,22.4,22.5,43.3,45.5,46.1,4.1,8.7,13.5,9174.0,9194.0,9086.0,4.004469151951167,8.449314770502502,12.952674444199868,0.9764551994767822,0.9674787905155536,0.9605987233105877,170.0,1
"Brown University",34.5,32.5,32.4,3.3,4.0,4.6,4690.0,4443.0,4246.0,21470.0,43557.0,70347.0,1.97,2.15,2.3,17.6,21.6,22.0,39.5,44.6,44.2,4.6,9.8,16.6,4177.0,3926.0,3743.0,5.140052669379938,11.094498217014774,18.794282660967138,1.1228154177639453,1.1316861946001018,1.1343841838097783,139.0,1
"Monash University",55.2,51.7,50.8,2.8,2.9,2.9,10300.0,9555.0,8854.0,44432.0,91194.0,136590.0,1.8,1.88,2.06,20.6,21.8,22.1,39.5,42.5,41.4,4.3,9.5,15.4,8203.0,7674.0,7126.0,5.416554918932098,11.8835027365129,19.167836093179904,1.2556381811532367,1.245113369820172,1.2424922817850126,173.0,1
"Tokyo Institute of Technology",36.8,33.2,31.6,7.4,8.2,9.0,3863.0,3864.0,3819.0,11930.0,23338.0,37586.0,1.16,1.15,1.21,14.9,15.4,15.6,34.7,35.5,36.7,3.1,6.0,9.8,3613.0,3490.0,3501.0,3.3019651259341267,6.687106017191977,10.735789774350186,1.0691945751453087,1.107163323782235,1.0908311910882604,94.0,1
"Ecole Polytechnique",69.5,69.1,67.4,8.4,9.3,9.4,1924.0,1885.0,1786.0,9058.0,19831.0,25836.0,1.64,1.82,1.72,23.5,26.0,24.1,46.8,49.4,47.0,4.7,10.5,14.5,1653.0,1697.0,1686.0,5.4797338173018755,11.685916322922806,15.323843416370106,1.1639443436176649,1.1107837360047141,1.059311981020166,103.0,1
